City,Real (m),F19 (m),F19 Diff (m),F09 (m),F09 Diff (m),F05 (m),F05 Diff (m)
"Breckenridge, CO",2926,2050.86756926849,-875.1324307315099,2708.295817139462,-217.7041828605379,2943.6301117345783,17.63011173457835
"Telluride, CO",2667,2294.470000660212,-372.529999339788,2602.6135647232536,-64.3864352767464,2957.579948776256,290.57994877625606
"Alta, UT",2609,1843.0726429815572,-765.9273570184428,2042.9020110316499,-566.0979889683501,1823.801655102659,-785.198344897341
"Vail, CO",2505,2294.470000660212,-210.529999339788,2568.608355251836,63.6083552518362,2943.6301117345783,438.63011173457835
"Mammoth Lakes, CA",2420,840.7038423060221,-1579.2961576939779,1595.527837977633,-824.472162022367,2261.9606929529687,-158.03930704703134
"Aspen, CO",2414,2294.470000660212,-119.52999933978799,2708.295817139462,294.2958171394621,2915.1264225214113,501.1264225214113
"Park City, UT",2134,1843.0726429815572,-290.92735701844276,2042.9020110316499,-91.09798896835014,2274.1579427980687,140.1579427980687
"Taos, NM",2124,1978.0105333017084,-145.9894666982916,2110.045713500065,-13.954286499934824,2497.896486510995,373.89648651099515
"Steamboat Springs, CO",2103,2195.3266921621885,92.32669216218846,2568.608355251836,465.6083552518362,2534.20386999378,431.2038699937798
"Big Bear Lake, CA",2057,791.4292733263,-1265.5707266737,724.2637506119761,-1332.736249388024,954.6037851583936,-1102.3962148416063
"Jackson, WY",1901,2046.3742176442888,145.37421764428882,2137.3363316215623,236.3363316215623,2388.864138950286,487.8641389502859
"South Lake Tahoe, CA",1899,1167.1254400740913,-731.8745599259087,1435.6111617395313,-463.3888382604687,1804.5360096391803,-94.46399036081971
"Sun Valley, ID",1789,1628.9620677263808,-160.03793227361916,1899.8624894014736,110.86248940147357,1885.6461770722306,96.64617707223056
"Truckee, CA",1768,1167.1254400740913,-600.8745599259087,1435.6111617395313,-332.3888382604687,1765.3648714871476,-2.6351285128523614
"Denver, CO",1609,2050.86756926849,441.8675692684901,2108.5362932255584,499.53629322555844,2082.981682614954,473.981682614954
"Bozeman, MT",1463,1479.17915611536,16.17915611536,1908.9323481046727,445.93234810467266,1777.8623148847287,314.8623148847287
"Salt Lake City, UT",1319,1843.0726429815572,524.0726429815572,1675.790787106591,356.7907871065911,1823.801655102659,504.80165510265897
"Bend, OR",1104,676.9384112694058,-427.06158873059417,1231.507365617289,127.507365617289,1333.3990470904944,229.39904709049438
"Mount Hood Village, OR",884,676.9384112694058,-207.06158873059417,500.5091750648922,-383.4908249351078,703.9178721928777,-180.08212780712233
"Winthrop, WA",536,909.5895209211784,373.5895209211784,1060.2841673758287,524.2841673758287,1248.3071018091382,712.3071018091382
"Leavenworth, WA",357,909.5895209211784,552.5895209211784,778.1608548167487,421.1608548167487,1045.2327444395432,688.2327444395432
"Loveland Pass, CO",3655,2050.86756926849,-1604.1324307315099,2568.608355251836,-1086.3916447481638,2693.9486644996114,-961.0513355003886
"Monarch Pass, CO",3448,2294.470000660212,-1153.529999339788,2705.3345188547005,-742.6654811452995,2843.2267840549594,-604.7732159450406
"Berthoud Pass, CO",3385,1884.4073621762968,-1500.5926378237032,2568.608355251836,-816.3916447481638,2693.9486644996114,-691.0513355003886
"Vail Pass, CO",3231,2050.86756926849,-1180.1324307315099,2708.295817139462,-522.7041828605379,2943.6301117345783,-287.36988826542165
"Cameron Pass, CO",3052,1884.4073621762968,-1167.5926378237032,2568.608355251836,-483.3916447481638,2447.6817804685247,-604.3182195314753
"Monument Pass, CO",2908,2294.470000660212,-613.529999339788,2553.248254879524,-354.7517451204758,2198.905224036888,-709.0947759631122
"Rabbit Ears Pass, CO",2883,2195.3266921621885,-687.6733078378115,2568.608355251836,-314.3916447481638,2625.7753039806144,-257.22469601938565
"Carson Pass, CA",2621,1167.1254400740913,-1453.8745599259087,1435.6111617395313,-1185.3888382604687,1804.5360096391803,-816.4639903608197
"Donner Pass, CA",2139,1167.1254400740913,-971.8745599259087,1435.6111617395313,-703.3888382604687,1355.7222757462787,-783.2777242537213
"White Pass, WA",1372,499.92414647145733,-872.0758535285427,698.2699508908928,-673.7300491091072,1024.7832217962368,-347.21677820376317
"Stevens Pass, WA",1241,909.5895209211784,-331.4104790788216,778.1608548167487,-462.8391451832513,965.8919427395371,-275.10805726046294
"Snoqualmie Pass, WA",921,634.8689391551047,-286.1310608448953,778.1608548167487,-142.83914518325128,983.5139217775836,62.51392177758362
